city,positive,newcases,recovered,deaths,active,newdeaths,newrecovered
Karachi East,8982,0,0,0,0,0,0
Karachi South,7660,0,0,0,0,0,0
Karachi Central,6538,0,0,0,0,0,0
Karachi Malir,4079,0,0,0,0,0,0
Karachi West,3372,0,0,0,0,0,0
Karachi Korangi,3345,0,0,0,0,0,0
Karachi (City),33031,1408,15399,576,17056,0,0
Sukkur (District),1316,0,0,0,0,0,0
Hyderabad,1312,47,708,31,573,0,0
Larkana (District),944,0,0,0,0,0,0
Ghotki (District),914,0,0,0,0,0,0
Khairpur,815,0,0,0,0,0,0
Shikarpur,444,0,0,0,0,0,0
Jacobabad,327,0,0,0,0,0,0
Shaheed Benazirabad,309,17,177,3,129,0,0
Kambar at Shahdadkot,210,0,0,0,0,0,0
Sanghar,206,0,0,0,0,0,0
Jamshoro,200,14,71,1,128,0,0
Kashmore at Kandhkot,165,9,58,3,104,0,0
Dadu,162,15,46,2,114,0,0
Mirpurkhas,143,0,0,0,0,0,0
Badin,122,18,46,3,73,0,0
Tando Muhammad Khan,82,2,67,1,14,0,0
Sujawal,74,6,29,3,42,0,0
Naushero Feroze,64,4,47,3,14,0,0
Matiari,60,0,50,2,8,0,0
Tharparkar,59,0,10,0,49,0,0
Thatta(District),56,2,22,3,31,0,0
Umerkot,34,6,6,0,28,0,0
Tando Allahyar,34,2,27,0,7,0,0
Daharki,101,7,15,0,86,0,0
Mirpur Mathelo,168,6,59,0,109,0,0
Ghotki City,308,2,170,3,138,0,0
Ubauro,148,6,45,0,103,0,0
Khangarh at Khanpur,86,1,29,0,57,0,0
Sindh  ,43790,0,21007,738,0,0,0
Punjab,45463,0,9005,841,0,0,0
Balochistan,7335,0,2592,73,0,0,0
KPK,15206,0,3771,691,0,0,0
Gilgit Baltistan,1018,0,633,14,0,0,0
Attock ,174,0,-,-,-,-,-
Bhawalnagar,229,0,-,-,-,-,-
Bhawalpur,680,0,-,-,-,-,-
Bhakkar,144,0,-,-,-,-,-
Chakwal,49,0,-,-,-,-,-
Chiniot,154,0,-,-,-,-,-
DG Khan,888,0,-,-,-,-,-
Faisalabad,3166,0,-,-,-,-,-
Gujranwala,1921,0,-,-,-,-,-
Gujrat,1109,0,-,-,-,-,-
Hafizabad,480,0,-,-,-,-,-
Jhang,155,0,-,-,-,-,-
Jhelum,318,0,-,-,-,-,-
Kasur,402,0,-,-,-,-,-
Khanewal,109,0,-,-,-,-,-
Khusab,167,0,-,-,-,-,-
Lahore,22749,0,-,-,-,-,-
Lodharan,213,0,-,-,-,-,-
Layyah,234,0,-,-,-,-,-
MB Din,219,0,-,-,-,-,-
Mianwali,103,0,-,-,-,-,-
Multan,3160,0,-,-,-,-,-
Muzaffargarh,591,0,-,-,-,-,-
Narowal,144,0,-,-,-,-,-
Nankana,232,0,-,-,-,-,-
Okara,131,0,-,-,-,-,-
Pakpattan,85,0,-,-,-,-,-
RY Khan,509,0,-,-,-,-,-
Rajanpur,82,0,-,-,-,-,-
Rawalpindi,3561,0,-,-,-,-,-
Sahiwal,248,0,-,-,-,-,-
Sargodha,627,0,-,-,-,-,-
Sheikhupura,646,0,-,-,-,-,-
Sialkot,1278,0,-,-,-,-,-
TT Sindh,229,0,-,-,-,-,-
Vehari,227,0,-,-,-,-,-
